customer_id,first_name,last_name,birth_date,email,address,income,snapshot_date
CUST1,Kathy,Jensen,1934-12-15,cruzmichael@knapp.com,"12590 Nguyen Rapids Apt. 187, Reyesbury, SC 71223",67209,2024-01-01
CUST2,Megan,Anderson,1965-01-21,hamptonbobby@beasley.com,"59572 Smith Light, East William, MO 34647",118859,2024-01-01
CUST3,Brian,Haney,1935-01-13,hoffmandennis@silva.com,"5781 Mendoza Throughway Suite 532, East Stephenchester, AK 83709",66240,2024-01-01
CUST4,Karen,Rios,1960-04-25,ericajones@hotmail.com,"880 Bishop Gardens Suite 892, Randallstad, WA 31349",25003,2024-01-01
CUST5,Michele,Brown,1980-11-20,jessica36@hotmail.com,"77670 Johnston Green Apt. 983, Port Alexanderville, RI 29514",49322,2024-01-01
CUST6,Mark,Farmer,1995-11-22,bryan64@gmail.com,"4380 Stevenson Square Suite 849, Adamsport, HI 10465",60841,2024-01-01
CUST7,Andrew,Johnston,1959-01-02,cbryant@hotmail.com,"0302 Riley Valley Apt. 673, New John, ND 90484",51191,2024-01-01
CUST8,Anthony,Lopez,1996-05-06,rogerdelgado@yahoo.com,"86083 Benjamin Vista, West Stephanieborough, WY 44665",52899,2024-01-01
CUST9,Ariana,Mathis,1976-06-19,lisagrant@hotmail.com,"3202 Amber Junction Suite 139, Payneport, KY 29111",52006,2024-01-01
CUST10,Samuel,Williams,1969-11-02,william27@conrad.net,"382 Brian Underpass, North Rhondachester, SC 15770",107906,2024-01-01
CUST11,Dillon,Mcbride,1950-04-14,ashley28@mcbride.com,"1510 Brennan Mills, Cordovaport, CO 03750",41048,2024-01-01
CUST12,Victoria,Glover,1957-05-15,njackson@gmail.com,"1629 Lee Plains Apt. 474, South Joeville, PA 13175",62957,2024-01-01
CUST13,Justin,Richards,1967-01-13,james86@yahoo.com,"5639 Hendrix Ramp, Rachaelburgh, ID 80915",119444,2024-01-01
CUST14,Alex,Reeves,1977-12-28,vduke@meyer.com,"588 Andrea Brook Apt. 881, Blakebury, MI 14429",68627,2024-01-01
CUST15,Mathew,Reed,1995-08-14,shawn70@flynn.com,"6723 Kara Center, North Alexis, UT 70529",125722,2024-01-01
CUST16,Jonathan,French,2006-09-03,dbraun@gmail.com,"57429 William Well Suite 756, Lake Taraville, MN 02382",37833,2024-01-01
CUST17,Michael,Lee,1968-06-30,hnguyen@santiago.com,"788 Schultz Club Apt. 511, North Lisa, WA 34055",94747,2024-01-01
CUST18,John,Cole,1937-04-23,mphillips@gmail.com,"78189 King Mountain, Ryanshire, LA 76946",117789,2024-01-01
CUST19,Vanessa,Crawford,1955-02-05,phillipsdouglas@yahoo.com,"463 Hammond Terrace, East Cristian, GA 26899",116185,2024-01-01
CUST20,Michelle,Bailey,1979-08-19,reidkevin@jennings.com,"0218 Lane Heights Suite 380, Amberstad, WY 76922",91716,2024-01-01
CUST21,Rebecca,Lewis,2007-02-11,wrightangela@hotmail.com,"03416 Holly Center Apt. 406, Lake Jennifer, DC 27729",81805,2024-01-01
CUST22,Crystal,Harper,2005-11-06,reyesbradley@hotmail.com,"7718 Barnes Mews Apt. 037, New Megan, MS 63436",28696,2024-01-01
CUST23,Randall,Stark,1990-02-07,kjohnson@garcia-terry.com,"1638 Daniel Prairie Apt. 939, Warrenport, DE 59135",30340,2024-01-01
CUST24,Jean,Bates,1955-05-25,bentontina@clark.org,"816 Anthony Gardens, East Ryanview, MT 56720",68919,2024-01-01
CUST25,William,Hernandez,1974-11-21,ckim@yahoo.com,"228 Garcia Highway Suite 241, East Alexanderfurt, PA 36236",66710,2024-01-01
CUST26,David,Davis,1970-12-04,lcarter@haney-reynolds.info,"240 Heather Circles, New Jeffreytown, SC 23229",65052,2024-01-01
CUST27,Andrea,Brock,1966-05-12,kayla82@yahoo.com,"1671 Angela Hills Apt. 296, Johnsonfort, ME 27874",40642,2024-01-01
CUST28,Michael,Molina,1941-10-12,zadams@monroe-griffin.com,"34179 Willis Ville Suite 125, Kleinview, MD 42816",94438,2024-01-01
CUST29,Cody,Bowen,1971-12-27,jonesphilip@hotmail.com,"4471 Mcpherson Squares Suite 546, East Meganchester, WA 74454",38700,2024-01-01
CUST30,Dorothy,Baker,1955-07-22,vtyler@hotmail.com,"06597 Medina Walks Suite 290, West Tonybury, SC 07357",143513,2024-01-01
CUST31,Charles,Graves,1958-07-19,eric19@lopez-sullivan.info,"9354 Kristen Course Suite 605, West Todd, TN 84359",37948,2024-01-01
CUST32,Michael,Smith,1940-04-30,ffrye@olson.org,"22101 Landry Street, Katrinaview, KY 11930",46928,2024-01-01
CUST33,William,Williams,2005-08-09,christopherzamora@glover.com,"2272 Mark Islands Apt. 009, East Linda, FL 74757",72939,2024-01-01
CUST34,Andrew,Acevedo,1970-02-26,jennifer74@walker-hamilton.org,"0901 Jones Ford, South Robertborough, RI 46431",25335,2024-01-01
CUST35,Rebecca,Hill,1982-04-05,hughesbrittany@gmail.com,"PSC 7220, Box 6002, APO AA 49312",46881,2024-01-01
CUST36,Katherine,Scott,1994-10-21,browntravis@carrillo.com,"505 Douglas Plaza Apt. 953, Lake Lauren, IA 93524",91513,2024-01-01
CUST37,Tony,Jackson,1959-10-16,sandrahardin@gmail.com,"423 Scott Light, New John, WV 99492",100144,2024-01-01
CUST38,Megan,Jones,1960-02-26,humphreyjohn@thornton-anderson.com,"17077 Knapp Pines Apt. 493, Ramirezborough, TX 62895",65525,2024-01-01
CUST39,Margaret,Snyder,1969-12-25,toddkevin@yahoo.com,"92231 Hawkins Drive, West Scott, MA 26114",100637,2024-01-01
CUST40,Michael,Garcia,1940-07-18,michellemendez@yahoo.com,"84843 Bartlett Cove, East Tammy, OR 81289",117723,2024-01-01
CUST41,Rebecca,Clark,1995-04-11,opatterson@williams-robinson.com,"479 Johnson Mountain Suite 280, Whiteville, SD 69459",77886,2024-01-01
CUST42,Lori,Thomas,1945-05-19,vpeterson@gmail.com,"48208 Stephen Plaza Suite 866, Allisontown, MA 36981",71601,2024-01-01
CUST43,Bonnie,Waller,2004-10-17,dwilson@smith.com,"8809 Brown Dam, New Denise, NV 31371",111826,2024-01-01
CUST44,Joseph,Green,1998-04-11,smithjennifer@henry.com,"USNV Roberts, FPO AE 01983",70611,2024-01-01
CUST45,Daniel,Brown,1939-05-12,ydavis@hotmail.com,"31344 Meza Springs, West Veronica, FL 92383",74192,2024-01-01
CUST46,Timothy,Allen,1944-04-26,dickersondaniel@gmail.com,"9308 Collins Mountain Suite 814, South Richard, IN 84645",42511,2024-01-01
CUST47,Alexander,Wright,1951-04-07,tgallegos@gmail.com,"92945 Murray Avenue, Leslieville, SC 03267",76996,2024-01-01
CUST48,Juan,Hunt,1986-02-28,hannavicki@villa.com,"64027 Newton Glen, North Amber, NY 07920",108468,2024-01-01
CUST49,Karen,Miller,1945-08-30,carpenterandrew@hotmail.com,"3634 Steven Islands Suite 952, Smithmouth, SC 85246",70315,2024-01-01
CUST50,Jacqueline,Anderson,1960-10-24,mike11@gmail.com,"Unit 4874 Box 0018, DPO AE 91240",52995,2024-01-01
CUST51,Brian,Lara,1989-02-23,kimberlysullivan@joseph.info,"8407 Kaitlin Path Suite 713, Richardtown, ME 20500",64042,2024-01-01
CUST52,Tanya,Martinez,1945-12-22,ballbeth@yahoo.com,"50513 Sellers Mews, Johnport, CO 84959",27273,2024-01-01
CUST53,Spencer,Newman,1949-12-27,alan76@gmail.com,"9922 Austin Crest, Lake Hannahland, FL 11819",92744,2024-01-01
CUST54,Eric,Flores,1997-12-07,edwardhill@gmail.com,"2648 Hopkins Keys, Kristenchester, IA 47761",61572,2024-01-01
CUST55,Robert,Kennedy,1958-09-17,kimberlyrusso@hotmail.com,"89451 Jacqueline Corners, South Christopher, OK 64379",43926,2024-01-01
CUST56,Robert,Waters,1990-01-17,isaac30@hotmail.com,"3105 David Club Suite 928, Oscarberg, ME 77886",115275,2024-01-01
CUST57,Elijah,Ford,1973-02-18,thall@yahoo.com,"9042 Doyle Union, Amandaside, AR 28087",56040,2024-01-01
